month_year,match_status,Police_district_Number,count
2020-04,Dispatch,4D,2429
2020-04,Dispatch,5D,1605
2020-04,Dispatch,6D,2219
2020-04,Dispatch,OOC,1
2020-04,Dispatch,TRU,13
2020-04,Match,1D,173
2020-04,Match,2D,203
2020-04,Match,3D,305
2020-04,Match,4D,240
2020-04,Match,5D,132
2020-04,Match,6D,175
2020-04,Match,Unknown,1
2020-05,Crime,1D,34
2020-05,Crime,2D,16
2020-05,Crime,3D,44
2020-05,Crime,4D,41
2020-05,Crime,5D,6
2020-05,Crime,6D,26
2020-05,Crime,TPPD,69
2020-05,Crime,Unknown,1
2020-05,Dispatch,1D,2159
2020-05,Dispatch,2D,1979
2020-05,Dispatch,3D,2637
2020-05,Dispatch,4D,2846
2020-05,Dispatch,5D,1927
2020-05,Dispatch,6D,2370
2020-05,Dispatch,TRU,2
2020-05,Match,1D,291
2020-05,Match,2D,283
2020-05,Match,3D,310
2020-05,Match,4D,313
2020-05,Match,5D,131
2020-05,Match,6D,151
2020-06,Crime,1D,34
2020-06,Crime,2D,16
2020-06,Crime,3D,58
2020-06,Crime,4D,29
2020-06,Crime,5D,7
2020-06,Crime,6D,23
2020-06,Crime,TPPD,63
2020-06,Dispatch,1D,2235
2020-06,Dispatch,2D,1983
2020-06,Dispatch,3D,2680
2020-06,Dispatch,4D,2690
2020-06,Dispatch,5D,1882
2020-06,Dispatch,6D,2501
2020-06,Dispatch,OOC,2
2020-06,Dispatch,PCW,1
2020-06,Dispatch,TRU,2
2020-06,Match,1D,268
2020-06,Match,2D,315
2020-06,Match,3D,294
2020-06,Match,4D,249
2020-06,Match,5D,157
2020-06,Match,6D,241
2020-06,Match,TPPD,1
2020-06,Match,Unknown,1
2020-07,Crime,1D,47
2020-07,Crime,2D,21
2020-07,Crime,3D,36
2020-07,Crime,4D,23
2020-07,Crime,5D,7
2020-07,Crime,6D,19
2020-07,Crime,TPPD,52
2020-07,Dispatch,1D,2286
2020-07,Dispatch,2D,2130
2020-07,Dispatch,3D,2832
2020-07,Dispatch,4D,2935
2020-07,Dispatch,5D,2078
2020-07,Dispatch,6D,2631
2020-07,Match,1D,284
2020-07,Match,2D,366
2020-07,Match,3D,377
2020-07,Match,4D,312
2020-07,Match,5D,204
2020-07,Match,6D,231
2020-07,Match,Unknown,2
2020-08,Crime,1D,45
2020-08,Crime,2D,15
2020-08,Crime,3D,61
2020-08,Crime,4D,17
2020-08,Crime,5D,18
2020-08,Crime,6D,21
2020-08,Crime,TPPD,63
2020-08,Crime,Unknown,1
2020-08,Dispatch,1D,2229
2020-08,Dispatch,2D,2137
2020-08,Dispatch,3D,2734
2020-08,Dispatch,4D,2880
2020-08,Dispatch,5D,2050
2020-08,Dispatch,6D,2593
2020-08,Match,1D,270
2020-08,Match,2D,320
2020-08,Match,3D,308
2020-08,Match,4D,329
2020-08,Match,5D,157
2020-08,Match,6D,304
2020-08,Match,Unknown,4
2020-09,Crime,1D,42
2020-09,Crime,2D,21
2020-09,Crime,3D,41
2020-09,Crime,4D,29
2020-09,Crime,5D,12
2020-09,Crime,6D,48
2020-09,Crime,TPPD,59
2020-09,Crime,Unknown,1
2020-09,Dispatch,1D,2185
2020-09,Dispatch,2D,2018
2020-09,Dispatch,3D,2577
2020-09,Dispatch,4D,2789
2020-09,Dispatch,5D,1992
2020-09,Dispatch,6D,2472
2020-09,Dispatch,TRU,1
2020-09,Match,1D,280
2020-09,Match,2D,347
2020-09,Match,3D,330
2020-09,Match,4D,340
2020-09,Match,5D,144
