month_year,Crime Name1,Crime Name2,count
2019-07,Crime Against Person,Forcible Rape,5
2019-07,Crime Against Person,Forcible Sodomy,5
2019-07,Crime Against Person,Sexual Assault With An Object,3
2019-07,Crime Against Person,Simple Assault,107
2019-07,Crime Against Property,All other Larceny,129
2019-07,Crime Against Property,Burglary/Breaking and Entering,80
2019-07,Crime Against Property,Counterfeiting/Forgery,24
2019-07,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,18
2019-07,Crime Against Property,Destruction/Damage/Vandalism of Property,170
2019-07,Crime Against Property,Embezzlement,4
2019-07,Crime Against Property,Extortion/Blackmail,2
