month_year,Agency,Crime Name1,count
2021-10,GPD,Crime Against Person,8
2021-10,GPD,Crime Against Property,32
2021-10,GPD,Crime Against Society,20
2021-10,MCFM,Crime Against Property,1
2021-10,MCPD,Crime Against Not a Crime,13
2021-10,MCPD,Crime Against Person,136
2021-10,MCPD,Crime Against Property,1090
2021-10,MCPD,Crime Against Society,392
2021-10,RCPD,Crime Against Not a Crime,1
2021-10,RCPD,Crime Against Person,32
2021-10,RCPD,Crime Against Property,71
2021-10,RCPD,Crime Against Society,67
2021-10,TPPD,Crime Against Person,2
2021-10,TPPD,Crime Against Property,52
2021-10,TPPD,Crime Against Society,12
2021-11,GPD,Crime Against Person,8
2021-11,GPD,Crime Against Property,33
2021-11,GPD,Crime Against Society,22
2021-11,MCPD,Crime Against Not a Crime,11
2021-11,MCPD,Crime Against Person,133
2021-11,MCPD,Crime Against Property,875
2021-11,MCPD,Crime Against Society,299
2021-11,RCPD,Crime Against Not a Crime,2
2021-11,RCPD,Crime Against Person,30
2021-11,RCPD,Crime Against Property,91
2021-11,RCPD,Crime Against Society,80
2021-11,TPPD,Crime Against Person,3
2021-11,TPPD,Crime Against Property,26
2021-11,TPPD,Crime Against Society,7
2021-12,GPD,Crime Against Not a Crime,1
2021-12,GPD,Crime Against Person,3
2021-12,GPD,Crime Against Property,34
2021-12,GPD,Crime Against Society,23
2021-12,MCPD,Crime Against Not a Crime,17
2021-12,MCPD,Crime Against Person,105
2021-12,MCPD,Crime Against Property,1024
2021-12,MCPD,Crime Against Society,338
2021-12,RCPD,Crime Against Person,23
2021-12,RCPD,Crime Against Property,75
2021-12,RCPD,Crime Against Society,61
2021-12,TPPD,Crime Against Person,1
2021-12,TPPD,Crime Against Property,25
2021-12,TPPD,Crime Against Society,9
2022-01,GPD,Crime Against Person,6
2022-01,GPD,Crime Against Property,25
2022-01,GPD,Crime Against Society,18
2022-01,MCPD,Crime Against Not a Crime,9
2022-01,MCPD,Crime Against Person,112
2022-01,MCPD,Crime Against Property,970
2022-01,MCPD,Crime Against Society,296
2022-01,RCPD,Crime Against Not a Crime,1
2022-01,RCPD,Crime Against Person,22
2022-01,RCPD,Crime Against Property,77
2022-01,RCPD,Crime Against Society,59
2022-01,TPPD,Crime Against Not a Crime,1
2022-01,TPPD,Crime Against Person,1
2022-01,TPPD,Crime Against Property,28
2022-01,TPPD,Crime Against Society,12
2022-02,GPD,Crime Against Person,6
2022-02,GPD,Crime Against Property,29
2022-02,GPD,Crime Against Society,15
2022-02,MCPD,Crime Against Not a Crime,15
2022-02,MCPD,Crime Against Person,92
2022-02,MCPD,Crime Against Property,910
2022-02,MCPD,Crime Against Society,315
2022-02,RCPD,Crime Against Person,27
2022-02,RCPD,Crime Against Property,65
2022-02,RCPD,Crime Against Society,67
2022-02,TPPD,Crime Against Person,4
2022-02,TPPD,Crime Against Property,36
2022-02,TPPD,Crime Against Society,19
2022-03,GPD,Crime Against Person,6
2022-03,GPD,Crime Against Property,24
2022-03,GPD,Crime Against Society,21
2022-03,MCPD,Crime Against Not a Crime,17
2022-03,MCPD,Crime Against Person,99
2022-03,MCPD,Crime Against Property,1025
2022-03,MCPD,Crime Against Society,367
2022-03,RCPD,Crime Against Not a Crime,1
2022-03,RCPD,Crime Against Person,32
2022-03,RCPD,Crime Against Property,101
2022-03,RCPD,Crime Against Society,75
2022-03,TPPD,Crime Against Person,4
2022-03,TPPD,Crime Against Property,36
2022-03,TPPD,Crime Against Society,8
2022-04,GPD,Crime Against Not a Crime,2
2022-04,GPD,Crime Against Person,8
2022-04,GPD,Crime Against Property,33
2022-04,GPD,Crime Against Society,23
2022-04,MCFM,Crime Against Person,1
2022-04,MCFM,Crime Against Property,1
2022-04,MCPD,Crime Against Not a Crime,11
2022-04,MCPD,Crime Against Person,100
2022-04,MCPD,Crime Against Property,891
2022-04,MCPD,Crime Against Society,317
2022-04,RCPD,Crime Against Not a Crime,3
2022-04,RCPD,Crime Against Person,29
2022-04,RCPD,Crime Against Property,77
2022-04,RCPD,Crime Against Society,65
2022-04,TPPD,Crime Against Person,7
2022-04,TPPD,Crime Against Property,37
2022-04,TPPD,Crime Against Society,15
2022-05,GPD,Crime Against Not a Crime,2
2022-05,GPD,Crime Against Person,4
2022-05,GPD,Crime Against Property,39
2022-05,GPD,Crime Against Society,13
2022-05,MCPD,Crime Against Not a Crime,10
2022-05,MCPD,Crime Against Person,104
