month_year,Crime Name2,count
2019-07,Drug Equipment Violations,9
2019-07,Drug/Narcotic Violations,131
2019-07,Embezzlement,4
2019-07,Extortion/Blackmail,2
2019-07,False Pretenses/Swindle/Confidence Game,39
2019-07,"Family Offenses, NonViolent",8
2019-07,Forcible Fondling,11
2019-07,Forcible Rape,5
2019-07,Forcible Sodomy,5
2019-07,Identity Theft,45
2019-07,Impersonation,2
2019-07,Liquor Law Violations,37
2019-07,Motor Vehicle Theft,64
2019-07,Pocket/picking,6
2019-07,Prostitution,2
2019-07,Purse-snatching,2
2019-07,Robbery,19
2019-07,Runaway,9
2019-07,Sexual Assault With An Object,3
2019-07,Shoplifting,78
2019-07,Simple Assault,107
2019-07,Stolen Property Offenses,2
2019-07,Theft From Motor Vehicle,363
2019-07,Theft from Building,117
2019-07,Theft of Motor Vehicle Parts or Accessories,51
2019-07,Trespass of Real Property,23
2019-07,Weapon Law Violations,7
2019-07,Wire Fraud,1
2019-08,Aggravated Assault,15
2019-08,All Other Offenses,388
2019-08,All other Larceny,140
2019-08,Arson,1
2019-08,Assisting or Promoting Prostitution,2
2019-08,Burglary/Breaking and Entering,64
2019-08,Counterfeiting/Forgery,19
2019-08,Credit Card/Automatic Teller Machine Fraud,18
2019-08,Curfew/Loitering/Vagrancy Violations,1
2019-08,Destruction/Damage/Vandalism of Property,163
2019-08,Disorderly Conduct,35
2019-08,Driving Under the Influence,65
2019-08,Drug Equipment Violations,12
2019-08,Drug/Narcotic Violations,115
2019-08,Embezzlement,3
2019-08,Extortion/Blackmail,3
2019-08,False Pretenses/Swindle/Confidence Game,38
2019-08,"Family Offenses, NonViolent",2
2019-08,Forcible Fondling,8
2019-08,Forcible Rape,9
2019-08,Forcible Sodomy,4
2019-08,Identity Theft,38
2019-08,Impersonation,2
2019-08,Intimidation,4
2019-08,Liquor Law Violations,29
2019-08,Motor Vehicle Theft,62
2019-08,Murder and Nonnegligent Manslaughter,2
2019-08,Pocket/picking,4
2019-08,Purse-snatching,1
2019-08,Robbery,24
2019-08,Runaway,9
2019-08,Sexual Assault With An Object,2
2019-08,Shoplifting,83
2019-08,Simple Assault,85
2019-08,Statuory Rape,2
2019-08,Stolen Property Offenses,3
2019-08,Theft From Motor Vehicle,395
2019-08,Theft from Building,123
2019-08,Theft of Motor Vehicle Parts or Accessories,62
2019-08,Trespass of Real Property,26
2019-08,Weapon Law Violations,9
2019-08,Wire Fraud,1
2019-09,Aggravated Assault,15
2019-09,All Other Offenses,365
2019-09,All other Larceny,132
2019-09,Assisting or Promoting Prostitution,2
2019-09,Burglary/Breaking and Entering,82
2019-09,Counterfeiting/Forgery,18
2019-09,Credit Card/Automatic Teller Machine Fraud,15
2019-09,Destruction/Damage/Vandalism of Property,151
2019-09,Disorderly Conduct,31
2019-09,Driving Under the Influence,84
2019-09,Drug Equipment Violations,7
